ObjectId,service_date,line,estimated_boardings
476,2020/09/03 04:00:00+00,Providence/Stoughton,2650.5
477,2020/09/03 04:00:00+00,Newburyport/Rockport,1608
478,2020/09/03 04:00:00+00,Framingham/Worcester,1405
479,2020/09/03 04:00:00+00,Franklin/Foxboro,1522.5
480,2020/09/03 04:00:00+00,Middleborough/Lakeville,919
481,2020/09/03 04:00:00+00,Lowell,1050
482,2020/09/03 04:00:00+00,Haverhill,732
483,2020/09/03 04:00:00+00,Kingston,751
484,2020/09/03 04:00:00+00,Needham,558
485,2020/09/03 04:00:00+00,Fitchburg,751
486,2020/09/03 04:00:00+00,Greenbush,360
487,2020/09/03 04:00:00+00,Fairmount,352
488,2020/09/04 04:00:00+00,Providence/Stoughton,2690
489,2020/09/04 04:00:00+00,Newburyport/Rockport,1828
490,2020/09/04 04:00:00+00,Framingham/Worcester,1639.5
491,2020/09/04 04:00:00+00,Franklin/Foxboro,1580
492,2020/09/04 04:00:00+00,Middleborough/Lakeville,942
493,2020/09/04 04:00:00+00,Lowell,1139
494,2020/09/04 04:00:00+00,Haverhill,802
495,2020/09/04 04:00:00+00,Kingston,676
496,2020/09/04 04:00:00+00,Needham,504.5
497,2020/09/04 04:00:00+00,Fitchburg,823
498,2020/09/04 04:00:00+00,Greenbush,332
499,2020/09/04 04:00:00+00,Fairmount,406
500,2020/09/07 04:00:00+00,Providence/Stoughton,2870.5
501,2020/09/07 04:00:00+00,Newburyport/Rockport,1725.5
